-0.0116907	0.995564	0.093358	0.655247
0.283952	0.0928262	-0.954335	-0.273214
-0.958767	0.0153524	-0.283777	0.0932759
0	0	0	1
0.0293418	0.98994	-0.138411	0.389139
0.0987998	-0.140664	-0.985115	-0.271104
-0.994675	0.0152302	-0.101933	0.0974591
0	0	0	1
0.222089	0.971623	0.0813972	0.526635
0.0590731	0.0699202	-0.995802	-0.121639
-0.973235	0.225965	-0.0418683	0.0883695
0	0	0	1
0.0295701	0.912377	0.408281	0.458254
0.199343	0.394872	-0.896849	0.0991594
-0.979484	0.107908	-0.1702	0.0430602
0	0	0	1
0.0592945	0.941381	0.332094	0.327572
0.141195	0.321426	-0.936349	0.144316
-0.988205	0.10241	-0.113859	0.0431304
0	0	0	1
0.0589984	0.955998	0.287381	0.303281
0.274088	0.261306	-0.925524	0.0790969
-0.959893	0.133372	-0.24661	0.177146
0	0	0	1
0.179943	0.821664	0.540823	0.579019
0.372986	0.451748	-0.810435	0.0996723
-0.910221	0.347551	-0.22518	0.10804
0	0	0	1
0.178231	0.882126	0.43599	0.459818
0.518007	0.292603	-0.803774	0.176498
-0.836602	0.369104	-0.404797	0.033511
0	0	0	1
0.0806935	0.941567	0.327018	0.557342
0.334983	0.283386	-0.898598	0.0378259
-0.938762	0.182057	-0.292542	0.0401651
0	0	0	1
-0.100672	0.960007	0.261249	0.603071
0.344323	0.279974	-0.896134	-0.0571912
-0.933438	-0.000261894	-0.358739	0.0514558
0	0	0	1
-0.351228	0.932663	0.0823281	0.590515
0.25715	0.180639	-0.949338	-0.224412
-0.900285	-0.312263	-0.30328	0.0618721
0	0	0	1
-0.051404	0.96315	-0.264006	0.407143
0.44733	-0.214148	-0.868353	-0.243268
-0.892891	-0.162735	-0.419838	0.150027
0	0	0	1
0.159836	0.983316	-0.0868494	0.474426
0.258663	-0.126626	-0.957632	-0.103955
-0.952652	0.130599	-0.274587	0.101991
0	0	0	1
0.141581	0.973851	0.177679	0.436676
0.241022	0.140174	-0.960344	0.0865984
-0.960137	0.178791	-0.214873	0.0838651
0	0	0	1
0.165295	0.983782	0.0696451	0.53892
0.267786	0.0231945	-0.963199	-0.139809
-0.949193	0.177862	-0.25961	0.105022
0	0	0	1
0.469961	0.853814	0.223914	0.622149
0.237367	0.122084	-0.963718	-0.138566
-0.850173	0.50606	-0.145292	0.0622266
0	0	0	1
-0.259166	0.945681	-0.196264	0.418092
0.0999864	-0.175845	-0.979327	-0.145723
-0.960643	-0.273432	-0.048982	0.0653469
0	0	0	1
0.00806583	0.993735	0.111474	0.455671
0.250024	0.105933	-0.962427	0.0299704
-0.968206	0.035634	-0.247603	0.0635908
0	0	0	1
0.123836	0.932431	0.339466	0.461688
0.37551	0.272624	-0.885815	0.357019
-0.918508	0.237169	-0.316377	0.102968
0	0	0	1
0.221834	0.946449	0.234571	0.698777
0.307709	0.160324	-0.937876	0.281532
-0.925259	0.280233	-0.255666	0.135989
0	0	0	1
0.13713	0.968065	0.20987	0.502482
0.341747	0.152626	-0.927315	0.370018
-0.929733	0.198885	-0.309904	0.11235
0	0	0	1
